"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 10 19:22:02 UTC 2025","Mon Nov 10 19:22:02 UTC 2025","174","test.category","test_update_category","","","","test_update_category_invalid_slug_format",""
"passed","Mon Nov 10 19:21:06 UTC 2025","Mon Nov 10 19:21:06 UTC 2025","96","test.article","test_update_article","","","","test_update_article_unknown_field",""
"passed","Mon Nov 10 19:20:28 UTC 2025","Mon Nov 10 19:20:28 UTC 2025","237","test.article","test_delete_article","","","","test_delete_article_valid",""
"passed","Mon Nov 10 19:20:24 UTC 2025","Mon Nov 10 19:20:24 UTC 2025","165","test.article","test_create_article","","","","test_create_article_description_exceeds_max_length",""
"passed","Mon Nov 10 19:21:20 UTC 2025","Mon Nov 10 19:21:20 UTC 2025","226","test.author","test_list_authors","","","","test_list_authors_default_pagination",""
"passed","Mon Nov 10 19:21:09 UTC 2025","Mon Nov 10 19:21:10 UTC 2025","980","test.article","test_view_article","","","","test_get_article_multiple_simultaneous_calls",""
"passed","Mon Nov 10 19:21:54 UTC 2025","Mon Nov 10 19:21:54 UTC 2025","179","test.category","test_update_category","","","","test_update_category_valid_name",""
"passed","Mon Nov 10 19:20:51 UTC 2025","Mon Nov 10 19:20:52 UTC 2025","422","test.article","test_update_article","","","","test_update_article_multiple_fields",""
"passed","Mon Nov 10 19:21:43 UTC 2025","Mon Nov 10 19:21:43 UTC 2025","124","test.category","test_create_category","","","","test_create_category_invalid_slug_accents",""
"passed","Mon Nov 10 19:21:52 UTC 2025","Mon Nov 10 19:21:53 UTC 2025","213","test.category","test_list_categories","","","","test_list_categories_sorted_by_updated_at",""
"passed","Mon Nov 10 19:21:56 UTC 2025","Mon Nov 10 19:21:57 UTC 2025","338","test.category","test_update_category","","","","test_update_category_articles_relation",""
"passed","Mon Nov 10 19:20:23 UTC 2025","Mon Nov 10 19:20:23 UTC 2025","287","test.article","test_create_article","","","","test_create_article_slug_format",""
"passed","Mon Nov 10 19:21:36 UTC 2025","Mon Nov 10 19:21:37 UTC 2025","175","test.author","test_view_author","","","","test_get_author_validate_all_fields",""
"passed","Mon Nov 10 19:21:48 UTC 2025","Mon Nov 10 19:21:49 UTC 2025","232","test.category","test_list_categories","","","","test_list_categories_sorted_by_created_desc",""
"passed","Mon Nov 10 19:22:06 UTC 2025","Mon Nov 10 19:22:06 UTC 2025","226","test.category","test_view_category","","","","test_get_category_document_id_uppercase",""
"passed","Mon Nov 10 19:20:46 UTC 2025","Mon Nov 10 19:20:46 UTC 2025","131","test.article","test_list_articles","","","","test_list_articles_without_count",""
"passed","Mon Nov 10 19:21:02 UTC 2025","Mon Nov 10 19:21:02 UTC 2025","213","test.article","test_update_article","","","","test_update_article_description_too_long",""
"passed","Mon Nov 10 19:20:27 UTC 2025","Mon Nov 10 19:20:27 UTC 2025","171","test.article","test_create_article","","","","test_create_article_missing_auth_token",""
"skipped","Mon Nov 10 19:21:47 UTC 2025","Mon Nov 10 19:21:47 UTC 2025","273","test.category","test_delete_category","","","","test_delete_category_concurrent",""
"skipped","Mon Nov 10 19:20:47 UTC 2025","Mon Nov 10 19:20:47 UTC 2025","112","test.article","test_list_articles","","","","test_pagination_page_decimal",""
"passed","Mon Nov 10 19:21:34 UTC 2025","Mon Nov 10 19:21:34 UTC 2025","205","test.author","test_update_author","","","","test_update_author_invalid_articles",""
"skipped","Mon Nov 10 19:22:00 UTC 2025","Mon Nov 10 19:22:00 UTC 2025","172","test.category","test_update_category","","","","test_update_category_empty_name",""
"passed","Mon Nov 10 19:21:38 UTC 2025","Mon Nov 10 19:21:39 UTC 2025","1093","test.author","test_view_author","","","","test_get_author_multiple_simultaneous_calls",""
"passed","Mon Nov 10 19:21:21 UTC 2025","Mon Nov 10 19:21:21 UTC 2025","224","test.author","test_list_authors","","","","test_list_authors_sorted_by_created_desc",""
"passed","Mon Nov 10 19:20:26 UTC 2025","Mon Nov 10 19:20:26 UTC 2025","242","test.article","test_create_article","","","","test_create_article_invalid_slug_format",""
"passed","Mon Nov 10 19:20:46 UTC 2025","Mon Nov 10 19:20:47 UTC 2025","150","test.article","test_list_articles","","","","test_list_articles_with_malformed_params_ignored",""
"skipped","Mon Nov 10 19:21:46 UTC 2025","Mon Nov 10 19:21:46 UTC 2025","258","test.category","test_delete_category","","","","test_delete_category_twice",""
"passed","Mon Nov 10 19:21:46 UTC 2025","Mon Nov 10 19:21:46 UTC 2025","68","test.category","test_delete_category","","","","test_delete_category_empty_document_id",""
"passed","Mon Nov 10 19:21:43 UTC 2025","Mon Nov 10 19:21:43 UTC 2025","144","test.category","test_create_category","","","","test_create_category_missing_slug",""
"passed","Mon Nov 10 19:21:53 UTC 2025","Mon Nov 10 19:21:53 UTC 2025","285","test.category","test_list_categories","","","","test_list_categories_populate",""
"passed","Mon Nov 10 19:20:25 UTC 2025","Mon Nov 10 19:20:26 UTC 2025","259","test.article","test_create_article","","","","test_create_article_duplicate_slug",""
"passed","Mon Nov 10 19:21:13 UTC 2025","Mon Nov 10 19:21:14 UTC 2025","140","test.author","test_create_author","","","","test_create_author_without_articles",""
"passed","Mon Nov 10 19:21:04 UTC 2025","Mon Nov 10 19:21:05 UTC 2025","367","test.article","test_update_article","","","","test_update_article_empty_slug",""
"skipped","Mon Nov 10 19:20:47 UTC 2025","Mon Nov 10 19:20:48 UTC 2025","198","test.article","test_list_articles","","","","test_pagination_page_size_decimal",""
